ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2019,NPOPCHG_2019,BIRTHS2019,DEATHS2019,NATURALINC2019,INTERNATIONALMIG2019,DOMESTICMIG2019,NETMIG2019,RESIDUAL2019,RBIRTH2019,RDEATH2019,RNATURALINC2019,RINTERNATIONALMIG2019,RDOMESTICMIG2019,RNETMIG2019,2019_sale
26,Virginia-Chantilly,13910 Metrotech Dr,20151,51059,1.0,1.0,1.0,1147532,-931,13769,5708,8061,5146,-14214,-9068,76,11.99392856,4.972136263,7.021792295,4.482588159,-12.38156006,-7.898971905,10009906.0
27,Virginia-Dale City,2851 Dale Blvd,22193,51153,1.0,1.0,1.0,470335,4100,6503,2152,4351,1264,-1529,-265,14,13.88684241,4.595492062,9.291350353,2.6992109510000004,-3.2651056510000003,-0.565894701,6321758.0
28,Virginia-Manassas,8300 Sudley Rd,20109,51153,1.0,1.0,1.0,470335,4100,6503,2152,4351,1264,-1529,-265,14,13.88684241,4.595492062,9.291350353,2.6992109510000004,-3.2651056510000003,-0.565894701,5222182.0
29,Virginia-Fredericksburg,3655 Plank Rd,22407,153854,1.0,1.0,1.0,217856,2879,2569,1685,884,116,1882,1998,-3,38.32621164,23.37977891,14.94643274,2.39334365,9.87332324,12.26666688,7582668.0
30,Pennsylvania-Erie,2080 Interchange Rd #500,16565,42049,1.0,1.0,,1262696,-3078,13389,13482,-93,1797,-4761,-2964,-21,31.62115736,33.286518900000004,-1.665361544,3.249543474,-12.66417642,-9.414632947000001,5313147.0
31,Virginia-Hampton,1072 W Mercury Blvd,23666,103350,1.0,1.0,1.0,313735,882,4319,2845,1474,262,-839,-577,-15,27.26263504,18.32148663,8.941148419,1.5941371030000002,-5.178546713999999,-3.5844096110000003,9245754.0
32,Virginia-Richmond,401 International Center Dr,23150,51087,1.0,1.0,1.0,330818,1825,3862,2832,1030,918,-113,805,-10,11.70638259,8.584276406,3.122106179,2.782615022,-0.342522328,2.440092693,7314014.0
33,Pennsylvania-Monroeville,120 Mall Plaza Blvd,15146,84132,1.0,1.0,1.0,1582959,-2598,15718,18352,-2634,2428,-2306,122,-86,28.71945538,36.33041779999999,-7.610962418,1.7512472980000002,11.56190603,13.31315333,9315207.0
34,Virginia-Chesapeake,1517 Sams Cir,23320,51550,1.0,1.0,1.0,244835,2476,2865,1920,945,94,1458,1552,-21,11.76122859,7.881870466,3.87935812,0.385883242,5.985295385,6.371178627000001,15945881.0
35,Pennsylvania-Pittsburgh,3000 Mcintyre Square Dr.,15237,42003,1.0,1.0,1.0,1216045,-1236,12668,13695,-1027,2392,-2543,-151,-58,10.41208617,11.25619831,-0.844112133,1.966033322,-2.090143285,-0.124109963,8539497.0
