ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,2020_sale,NPOPCHG2020,BIRTHS2020,DEATHS2020,NATURALINC2020,NETMIG2020,RESIDUAL2020,RBIRTH2020,RDEATH2020,POPESTIMATE2020,INTERNATIONALMIG2020,DOMESTICMIG2020,RNATURALINC2020,RINTERNATIONALMIG2020,RDOMESTICMIG2020,RNETMIG2020
0,Massachusetts-Dedham,300 Providence Hwy,2026,50046,1.0,1.0,1.0,6835039.0,2891.421875,31728.720703125,23654.3671875,8074.353515625,-5155.220703125,-27.712890625,32.14560900893229,23.25923849265625,2995746.328460693,11059.53500366211,-20835.889877319336,7.6433064928457055,14.68802188972107,-22.43912830133502,-7.751106416876218
1,Massachusetts-Seekonk,1110 Fall River Ave,2771,25005,1.0,1.0,1.0,8494277.0,1764.11328125,6033.931640625,5949.474609375,84.45703125,1716.064453125,-36.408203125,17.08955097799479,20.293372183658853,616343.2478332521,1120.595458984375,963.4138488769532,-3.5458932362001345,1.8352001273466187,-0.06961470777630653,1.765585418108825
2,Rhode Island-Warwick North,650 Bald Hill Rd,2886,88010,1.0,1.0,1.0,7323720.0,8306.1796875,19693.142578125,14110.927734375,5582.212890625,2770.412109375,-46.447265625,60.532062309609366,61.03829122751303,1669559.6258850098,4000.234359741211,-1564.2711486816406,-2.0465967510236807,7.963496088955871,45.37036332712768,53.33385941068299
3,Connecticut-Manchester,1181 Tolland Turnpike,6042,9003,1.0,1.0,1.0,9176975.0,-851.94921875,9206.072265625,8212.255859375,993.81640625,-1873.076171875,27.30859375,10.313561290546877,9.200641148778645,890148.6280822755,4019.388214111328,-5556.250442504883,0.763102828707886,4.837719233336488,-6.576445836709353,-1.7387266040411382
4,New York-Albany,161 Washington Ave Ext,12205,36001,1.0,1.0,,7051296.0,-541.984375,3409.20703125,2965.009765625,444.197265625,-985.46875,-0.71484375,19.1647920025,14.084385870546875,344942.8086090088,696.4670104980469,-2350.926452636719,3.5704949743081063,9.039965306804689,-12.29939099418994,-3.259425688361878
5,New York-Nanuet,5101 Fashion Dr,10954,36087,1.0,1.0,1.0,,667.5859375,5357.26171875,2348.76171875,3008.5,-2360.9140625,20.0,16.49981400903646,7.233668857424479,327004.3274078369,308.3712463378906,-3297.2284545898438,9.450830617405822,1.2502308903393555,-9.805847209420287,-8.555616317897337
6,New York-Middletown,100 N Galleria Dr,10941,36071,1.0,1.0,,,28362.921875,61885.26171875,34969.927734375,26915.333984375,1501.8125,-54.224609375,91.5048102054948,69.20570069050783,5328419.570617677,15768.607055664062,-30693.1427154541,20.43203485063965,14.53106545888062,9.759698270727476,24.29076372046081
7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",7470,34031,1.0,1.0,1.0,8420179.0,-960.974609375,6691.814453125,3751.203125,2940.611328125,-3921.62109375,20.033203125,13.302534982473958,7.457231734757812,501844.37876892096,1933.682907104492,-6086.760330200195,5.4097914812669075,4.474908282359558,-12.883330438570681,-8.408422153470093
8,New Jersey-Ocean Township,2341 NJ-66,7712,34025,1.0,1.0,1.0,,-1489.142578125,5701.173828125,5719.49609375,-18.322265625,-1459.759765625,-11.0625,9.184367794654948,9.214925390846354,617714.5706176758,94.19265747070312,-1076.944351196289,-0.6600858409584349,0.31392212589257823,-2.2430124273729857,-1.9290903011554563
9,New York-New Hartford,4645 Commercial Dr,13413,72108,1.0,1.0,,5074251.0,-908.74609375,3458.71875,3668.484375,-209.765625,-695.009765625,-3.97265625,41.32935874777344,43.392473426614586,328917.7542266845,212.4015045166016,-545.4455108642578,-1.3550738805971072,-0.26021973486053485,20.54260962933587,20.282389894459413
10,New Jersey-Brick,1930 N Jersey 88,8724,68054,1.0,1.0,1.0,7723800.0,3827.552734375,14252.3046875,12886.36328125,1365.94140625,2500.37109375,-38.759765625,23.46238690716146,21.183315613072914,1228610.6561279295,129.78219604492188,4336.5757751464835,1.791501203758423,0.4005329171135864,6.7215819414658835,7.1221148590925285
11,Pennsylvania-Whitehall Township,2520 MacArthur Road,18052,42077,1.0,1.0,,7349832.0,1866.7109375,4257.52734375,3363.78125,893.744140625,983.74609375,-10.779296875,11.620804510533855,9.183357854058595,372215.76210021967,1345.3624725341795,-651.7712860107423,2.660149929893249,4.03021492667395,-0.804694086102417,3.225520841138123
12,Pennsylvania-Willow Grove,2620 Moreland Rd,19090,42091,1.0,1.0,1.0,7054021.0,28285.716796875,45309.451171875,31192.013671875,14117.435546875,14153.5703125,14.708984375,209.7518714398437,189.96817223020832,3838392.2853393564,7092.748352050781,5709.321243286133,13.926237953189695,13.637611876909787,20.555040190907352,34.19265207278406
13,New York-Syracuse,9090 Destiny USA Dr,13204,36067,1.0,1.0,,4995939.0,-1060.1328125,5040.052734375,4256.845703125,783.20703125,-1849.28125,5.939453125,10.911575426614585,9.21595597743099,458837.30860900885,690.7151947021484,-2386.751342773437,1.3716497188300782,1.7565339699809572,-5.5028696725636586,-3.746335703422851
14,New Jersey-Cherry Hill,989 Church Rd,8002,34007,1.0,1.0,1.0,8573420.0,1218.1015625,7242.857421875,5715.865234375,1526.9921875,-306.95703125,-1.93359375,43.80804907714844,34.05688993640625,618172.6376037598,575.9583129882812,780.5483856201172,9.156291012925903,-0.4723990253257449,35.13971200683569,34.66731298136237
