ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2017,NPOPCHG_2017,BIRTHS2017,DEATHS2017,NATURALINC2017,INTERNATIONALMIG2017,DOMESTICMIG2017,NETMIG2017,RESIDUAL2017,RBIRTH2017,RDEATH2017,RNATURALINC2017,RINTERNATIONALMIG2017,RDOMESTICMIG2017,RNETMIG2017,2017_sale
0,Massachusetts-Dedham,300 Providence Hwy,2026,50046,1.0,1.0,1.0,2984763,8702,31911,23131,8780,18583,-18617,-34,-44,32.35408715,22.8250979,9.528989252999999,22.71037352,-18.86248753,3.847885998,
1,Massachusetts-Seekonk,1110 Fall River Ave,2771,25005,1.0,1.0,1.0,609675,2761,5909,6050,-141,1853,1094,2947,-45,16.45448777,20.91605045,-4.461562687,3.162180009,4.350066775,7.5122467839999985,8124952.0
2,Rhode Island-Warwick North,650 Bald Hill Rd,2886,88010,1.0,1.0,1.0,1643651,6204,19906,14331,5575,3845,-3173,672,-43,62.3318251,62.96631743,-0.634492339,7.248348845,13.96058666,21.20893551,
3,Connecticut-Manchester,1181 Tolland Turnpike,6042,9003,1.0,1.0,1.0,893076,-1065,9295,8263,1032,4614,-6739,-2125,28,10.40164681,9.246778651,1.154868155,5.16333495,-7.541333817000001,-2.377998866,
4,New York-Albany,161 Washington Ave Ext,12205,36001,1.0,1.0,,346176,656,3514,2942,572,1147,-1062,85,-1,19.72384862,14.17229242,5.551556197999999,9.874437961,-1.020912612,8.853525349,9613180.0
5,New York-Nanuet,5101 Fashion Dr,10954,36087,1.0,1.0,1.0,324622,1364,5344,2196,3148,674,-2468,-1794,10,16.49688214,6.779033154,9.717848984,2.080632216,-7.61869482,-5.5380626039999985,
6,New York-Middletown,100 N Galleria Dr,10941,36071,1.0,1.0,,5222822,42437,62756,33475,29281,28154,-14943,13211,-55,92.75278281,71.08776199,21.66502081,24.05284883,9.10203013,33.15487895,
7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",7470,34031,1.0,1.0,1.0,504402,255,6788,3744,3044,3529,-6337,-2808,19,13.46092257,7.424527713,6.03639486,6.998172622,-12.56656841,-5.568395784,
8,New Jersey-Ocean Township,2341 NJ-66,7712,34025,1.0,1.0,1.0,621990,-981,5753,5485,268,627,-1868,-1241,-8,9.242056579,8.811521004,0.430535575,1.007260468,-3.000897217,-1.993636748,
9,New York-New Hartford,4645 Commercial Dr,13413,72108,1.0,1.0,,331799,-637,3458,3732,-274,552,-904,-352,-11,42.55362366,42.44043044,0.113193206,2.124057061,10.93662035,13.06067741,
10,New Jersey-Brick,1930 N Jersey 88,8724,68054,1.0,1.0,1.0,1217414,3546,14358,12932,1426,958,1197,2155,-35,23.74909135,21.3663017,2.382789645,1.565288186,2.166338295,3.731626482,
11,Pennsylvania-Whitehall Township,2520 MacArthur Road,18052,42077,1.0,1.0,,365577,3279,4229,3410,819,2209,275,2484,-24,11.62012708,9.369740684,2.250386399,6.06972351,0.755624249,6.825347759,
12,Pennsylvania-Willow Grove,2620 Moreland Rd,19090,42091,1.0,1.0,1.0,3752791,33333,45972,30878,15094,14154,4101,18255,-16,214.0230124,197.131075,16.89193749,28.69511824,-7.395507546,21.2996107,
