ID,Name,Address,ZipCode,FIPS_CODE,Pickup_InStore,Pickup_Curbside,Local_Delivery,POPESTIMATE2018,NPOPCHG_2018,BIRTHS2018,DEATHS2018,NATURALINC2018,INTERNATIONALMIG2018,DOMESTICMIG2018,NETMIG2018,RESIDUAL2018,RBIRTH2018,RDEATH2018,RNATURALINC2018,RINTERNATIONALMIG2018,RDOMESTICMIG2018,RNETMIG2018,2018_sale
0,Massachusetts-Dedham,300 Providence Hwy,2026,50046,1.0,1.0,1.0,2987207,2444,31799,23522,8277,13671,-19495,-5824,-9,32.13577292,23.08412285,9.05165007,16.47002887,-20.53943856,-4.069409693,
1,Massachusetts-Seekonk,1110 Fall River Ave,2771,25005,1.0,1.0,1.0,612729,3054,6117,6082,35,1737,1309,3046,-27,17.49742931,20.19326272,-2.695833422,3.444392568,2.964960061,6.409352629,10533903.0
2,Rhode Island-Warwick North,650 Bald Hill Rd,2886,88010,1.0,1.0,1.0,1653056,9405,19698,14194,5504,5523,-1592,3931,-30,60.89325721,63.24535549,-2.352098281,10.00648929,-28.39071197,-18.38422268,7468781.0
3,Connecticut-Manchester,1181 Tolland Turnpike,6042,9003,1.0,1.0,1.0,892580,-496,9232,8257,975,6070,-7574,-1504,33,10.3401775,9.248141859,1.092035644,6.798621907,-8.48315689,-1.684534983,5234105.0
4,New York-Albany,161 Washington Ave Ext,12205,36001,1.0,1.0,,345313,-863,3369,3009,360,911,-2136,-1225,2,18.8979264,14.07834966,4.819576742,8.788398324,-10.307229199999998,-1.518830877,9493778.0
5,New York-Nanuet,5101 Fashion Dr,10954,36087,1.0,1.0,1.0,325522,900,5485,2334,3151,540,-2806,-2266,15,16.87318502,7.179947827,9.693237191,1.661170448,-8.631933849,-6.970763400000001,
6,New York-Middletown,100 N Galleria Dr,10941,36071,1.0,1.0,,5256127,33305,61994,35309,26685,24391,-17789,6602,18,92.01820259,69.77395832,22.24424427,20.1964965,18.81886921,39.0153657,
7,New Jersey-Wayne,"77 Willowbrook Blvd, Ste 81",7470,34031,1.0,1.0,1.0,503183,-1219,6707,3786,2921,2467,-6624,-4157,17,13.31302074,7.514998735,5.798022003,4.896857337,-13.14827037,-8.251413032,7340684.0
8,New Jersey-Ocean Township,2341 NJ-66,7712,34025,1.0,1.0,1.0,620459,-1531,5700,5755,-55,213,-1678,-1465,-11,9.175426919,9.26396174,-0.088534821,0.34287121600000003,-2.701116907,-2.358245691,
9,New York-New Hartford,4645 Commercial Dr,13413,72108,1.0,1.0,,331093,-706,3515,3630,-115,489,-1077,-588,-3,41.79195694,42.54111464,-0.749157691,1.546544751,12.04182262,13.58836737,6158428.0
10,New Jersey-Brick,1930 N Jersey 88,8724,68054,1.0,1.0,1.0,1221937,4523,14285,12946,1339,335,2881,3216,-32,23.52079521,21.2799831,2.24081211,0.5467308470000001,4.916883564,5.463614411,2493819.0
11,Pennsylvania-Whitehall Township,2520 MacArthur Road,18052,42077,1.0,1.0,,368359,2782,4296,3383,913,2719,-846,1873,-4,11.70674282,9.218787469,2.4879553530000003,7.409365394,-2.305378126,5.103987269,7690556.0
12,Pennsylvania-Willow Grove,2620 Moreland Rd,19090,42091,1.0,1.0,1.0,3780277,27486,45357,31661,13696,10104,3657,13761,29,210.2223792,188.0980255,22.12435367,22.15017551,8.538849943999999,30.68902547,
13,New York-Syracuse,9090 Destiny USA Dr,13204,36067,1.0,1.0,,461649,-146,5040,4235,805,1126,-2076,-950,-1,10.91565921,9.172185861,1.743473345,2.438696878,-4.496212006,-2.057515128,6983818.0
14,New Jersey-Cherry Hill,989 Church Rd,8002,34007,1.0,1.0,1.0,616593,1359,7236,5785,1451,1044,-1134,-90,-2,44.13260798,33.43003192,10.70257606,1.929686656,22.76793491,24.69762157,12708211.0
15,New Jersey-Turnersville,5700 Route 42 N,8012,68022,1.0,1.0,1.0,945459,1969,10475,8943,1532,1220,-766,454,-17,63.24410643,53.99228603,9.251820406,2.370450897,27.04533238,29.41578328,
16,Pennsylvania-Lancaster,1890 Fruitville Pike,17601,42071,1.0,1.0,1.0,966227,7987,12083,8586,3497,2490,2011,4501,-11,42.83258073,46.29012229,-3.457541567,8.374038883999999,34.01497384,42.38901272,7167526.0
17,Pennsylvania-Harrisburg,5070 Jonestown Rd,17112,42043,1.0,1.0,,276864,1150,3389,2576,813,1116,-774,342,-5,12.26614161,9.323570608999999,2.942571004,4.039248758,-2.801414461,1.237834297,2830230.0
18,New York-Rochester,1100 Jefferson Rd,14623,36055,1.0,1.0,,1556302,1563,15860,14665,1195,3969,-3574,395,-27,174.00419730000004,186.7767181,-12.77252074,17.41053038,-19.57039486,-2.15986447,10015981.0
19,Pennsylvania-York,855 Town Center Dr,17408,42133,1.0,1.0,,1009222,11507,10422,9025,1397,991,9125,10116,-6,51.46768571,44.7771037,6.690582025,3.648475438,29.16777029,32.81624572,
20,New York-Greece,3049 West Ridge Road,14626,36055,1.0,1.0,,1556302,1563,15860,14665,1195,3969,-3574,395,-27,174.00419730000004,186.7767181,-12.77252074,17.41053038,-19.57039486,-2.15986447,7053578.0
21,Maryland-Glen Burnie,6716 Governor Ritchie Hwy,21061,24003,1.0,1.0,1.0,575523,4184,6847,4639,2208,366,1620,1986,-10,11.94040783,8.089900965,3.850506861,0.638263366,2.825100143,3.463363508,
22,Maryland-Crofton,1647 Crofton Center,21114,24003,1.0,1.0,1.0,575523,4184,6847,4639,2208,366,1620,1986,-10,11.94040783,8.089900965,3.850506861,0.638263366,2.825100143,3.463363508,4698973.0
23,Maryland-Frederick,1811 Monocacy Blvd,21701,24021,1.0,1.0,1.0,343116,6038,3746,2611,1135,447,4460,4907,-4,21.91111364,15.89172382,6.019389821,2.525503637,28.21422924,30.73973288,7959058.0
24,Maryland-Gaithersburg,209 Kentlands Blvd,20878,24031,1.0,1.0,1.0,3780277,27486,45357,31661,13696,10104,3657,13761,29,210.2223792,188.0980255,22.12435367,22.15017551,8.538849943999999,30.68902547,462257.0
25,Virginia-Leesburg,19460 Compass Creek Pkwy,20175,51107,,,,405522,8473,5047,1548,3499,1174,3794,4968,6,12.57708041,3.85760263,8.719477778,2.92559786,9.45461523,12.38021309,
26,Virginia-Chantilly,13910 Metrotech Dr,20151,51059,1.0,1.0,1.0,1148463,-265,14045,5341,8704,5260,-14299,-9039,70,12.22797756,4.650026924,7.5779506360000015,4.579506014,-12.4491172,-7.86961119,9699036.0
27,Virginia-Dale City,2851 Dale Blvd,22193,51153,1.0,1.0,1.0,466235,3166,6588,2111,4477,1376,-2702,-1326,15,14.17835283,4.543185007,9.635167825,2.9613560260000003,-5.815104637,-2.853748612,6978318.0
28,Virginia-Manassas,8300 Sudley Rd,20109,51153,1.0,1.0,1.0,466235,3166,6588,2111,4477,1376,-2702,-1326,15,14.17835283,4.543185007,9.635167825,2.9613560260000003,-5.815104637,-2.853748612,6136405.0
29,Virginia-Fredericksburg,3655 Plank Rd,22407,153854,1.0,1.0,1.0,214977,2505,2581,1638,943,163,1403,1566,-4,38.54642089,22.22304803,16.32337285,3.601841621,23.74378003,27.34562165,7806651.0
30,Pennsylvania-Erie,2080 Interchange Rd #500,16565,42049,1.0,1.0,,1265774,-1578,13531,13426,105,3049,-4707,-1658,-25,31.95347019,33.27641627,-1.322946082,5.092542535,-13.65940703,-8.566864503,5261034.0
31,Virginia-Hampton,1072 W Mercury Blvd,23666,103350,1.0,1.0,1.0,312853,-1319,4401,2893,1508,203,-3029,-2826,-1,27.77916971,18.63195435,9.147215369,1.211720544,-18.44460981,-17.23288927,8899840.0
32,Virginia-Richmond,401 International Center Dr,23150,51087,1.0,1.0,1.0,328993,1434,3927,2906,1021,976,-554,422,-9,11.96249497,8.852307205,3.110187769,2.973107995,-1.687604333,1.285503662,7485777.0
33,Pennsylvania-Monroeville,120 Mall Plaza Blvd,15146,84132,1.0,1.0,1.0,1585557,-4315,16053,18536,-2483,2590,-4350,-1760,-72,29.52850577,36.55888592,-7.030380151,1.905979086,3.655833226,5.5618123110000015,9000231.0
34,Virginia-Chesapeake,1517 Sams Cir,23320,51550,1.0,1.0,1.0,242359,2216,2943,1882,1061,127,1040,1167,-12,12.19891317,7.801003934,4.397909232,0.5264226879999999,4.31086296,4.837285649,16121085.0
35,Pennsylvania-Pittsburgh,3000 Mcintyre Square Dr.,15237,42003,1.0,1.0,1.0,1217281,-2860,12859,13880,-1021,2540,-4330,-1790,-49,10.551312,11.3890824,-0.837770398,2.084169258,-3.552934207,-1.468764949,8187454.0
36,Virginia-Chesterfield,11500 Midlothian Turnpike,23235,102801,1.0,1.0,1.0,623383,6898,7451,5064,2387,833,3695,4528,-17,35.40021837,27.58935045,7.810867916,3.5821826210000003,9.774505827,13.35668845,12306652.0
